palavras,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
FOREM,0.3478505,776,0.5953271,371,0.0472534,1480
AZULE,0.3477757,777,0.2805607,1590,0.0303387,2702
CENSO,0.3477383,778,0.5663551,495,0.0446636,1716
CONES,0.3477383,778,0.6988785,77,0.0532393,1035
RITMO,0.3475514,779,0.4685981,945,0.0383144,2168
FRUAM,0.347514,780,0.4971963,818,0.0476065,1447
FURAM,0.347514,780,0.5994393,352,0.0535613,1013
FUMAR,0.347514,780,0.4906542,850,0.0464381,1555
RUFAM,0.347514,780,0.4945794,831,0.0483513,1388
LENGA,0.3473645,781,0.5272897,677,0.0536978,1002
VENAL,0.3473271,782,0.5241121,693,0.0540231,972
BRUMA,0.347215,783,0.4168224,1180,0.0434376,1820
PEDAL,0.3471402,784,0.5037383,788,0.0532541,1032
MICRO,0.3470654,785,0.4872897,864,0.0389603,2130
VAGUE,0.3470654,785,0.4061682,1226,0.0429353,1858
QUOTA,0.347028,786,0.4188785,1170,0.0434537,1818
MUROS,0.3468785,787,0.5783178,436,0.040966,1996
RUMOS,0.3468785,787,0.504486,784,0.0358246,2342
DILUA,0.3467664,788,0.464486,963,0.0467784,1527
ALUDI,0.3467664,788,0.3115888,1538,0.0279778,2822
ILUDA,0.3467664,788,0.3459813,1434,0.0384357,2161
TORPE,0.3465794,789,0.4706542,936,0.0400847,2056
PERTO,0.3465794,789,0.6246729,259,0.0503412,1206
PRETO,0.3465794,789,0.4783178,905,0.0365156,2300
TREPO,0.3465794,789,0.4057944,1228,0.0345088,2434
PORTE,0.3465794,789,0.5431776,607,0.0420915,1921
FREOU,0.3465047,790,0.3381308,1463,0.0244165,2934
TACHE,0.3463178,791,0.428972,1126,0.0447273,1707
GABOU,0.3462056,792,0.3833645,1314,0.0418797,1939
TIROU,0.3462056,792,0.4351402,1098,0.032583,2559
ROUBE,0.3462056,792,0.3988785,1259,0.0353248,2372
PERCO,0.3460935,793,0.5899065,392,0.0489084,1323
PRECO,0.3460935,793,0.4435514,1060,0.0350828,2392
GABEM,0.3459439,794,0.4871028,865,0.0499073,1242
TREMI,0.3459439,794,0.3134579,1534,0.0224898,2983
TIREM,0.3459439,794,0.5388785,628,0.0406106,2019
LIMPA,0.3459439,794,0.4338318,1103,0.0461541,1576
CRIOU,0.3457196,795,0.4093458,1212,0.029028,2775
URICO,0.3457196,795,0.4214953,1159,0.0357947,2344
MOGES,0.3456075,796,0.6168224,288,0.0504191,1202
GOMES,0.3456075,796,0.5962617,367,0.0494684,1282
SOVEM,0.3455701,797,0.5024299,794,0.0421291,1918
VEMOS,0.3455701,797,0.5413084,615,0.042885,1860
MOVES,0.3455701,797,0.6039252,334,0.0501355,1224
MONJA,0.3455327,798,0.5353271,643,0.0554601,875
MANJO,0.3455327,798,0.542243,612,0.0550212,909
CRIEM,0.3454579,799,0.5130841,741,0.0370556,2264
CRIME,0.3454579,799,0.4119626,1201,0.0298748,2729
TAQUE,0.3454206,800,0.38,1327,0.0434258,1821
RUMES,0.345271,801,0.5641121,505,0.0416804,1950
SUGAM,0.345271,801,0.5194393,715,0.0487206,1348
MURES,0.345271,801,0.6379439,214,0.0468218,1522
LERDO,0.3450467,802,0.5727103,465,0.0486067,1361
LORDE,0.3450467,802,0.491215,847,0.0403569,2040
EGITO,0.3449346,803,0.3958879,1270,0.0335043,2504
VOTEI,0.3448972,804,0.5123364,744,0.0425711,1888
EVITO,0.3448972,804,0.3968224,1265,0.0335245,2501
TALHO,0.3447103,805,0.5394393,625,0.0546006,938
TOLHA,0.3447103,805,0.5325234,655,0.0550395,907
JAZES,0.3446729,806,0.5601869,526,0.0588026,603
PULAI,0.3445981,807,0.5598131,527,0.0501597,1223
DOTES,0.3442991,808,0.613271,300,0.050019,1233
COLHA,0.3442243,809,0.5723364,467,0.0566114,795
OUVES,0.3442243,809,0.5072897,770,0.0377696,2213
CALHO,0.3442243,809,0.5792523,433,0.0561725,825
NULAS,0.3441869,810,0.6143925,296,0.0562774,820
CUREI,0.3441121,811,0.5659813,496,0.0404477,2032
BUFAO,0.344,812,0.5854206,410,0.0599033,508
MANJE,0.3439252,813,0.4536449,1013,0.0457878,1613
DESCO,0.3438131,814,0.4983178,813,0.0434031,1822
FITAM,0.3437383,815,0.5457944,595,0.0508318,1171
MOFES,0.3434019,816,0.5936449,379,0.0498738,1247
FOMES,0.3434019,816,0.6246729,259,0.0499424,1238
FICAM,0.3432523,817,0.5409346,617,0.0506083,1183
SOBEM,0.3431028,818,0.4970093,819,0.0419566,1934
ISTMO,0.3431028,818,0.3153271,1530,0.026214,2888
TALHE,0.3431028,818,0.4508411,1027,0.0453672,1653
MITOS,0.3431028,818,0.5246729,690,0.0382365,2174
TELHA,0.3431028,818,0.5254206,686,0.0540558,971
MISTO,0.3431028,818,0.511215,750,0.0398928,2069
FUMAS,0.3430654,819,0.628785,243,0.0562503,821
BICAM,0.3429533,820,0.524486,691,0.050269,1214
PRELO,0.3428785,821,0.4280374,1131,0.0343933,2439
PROLE,0.3428785,821,0.3170093,1524,0.0229501,2975
VERTO,0.3428411,822,0.5983178,357,0.049477,1279
TREVO,0.3428411,822,0.415514,1185,0.0346676,2424
VETOR,0.3428411,822,0.4162617,1183,0.0332861,2521
SUBAM,0.3427664,823,0.5011215,801,0.0482645,1394
FEITO,0.342729,824,0.5837383,416,0.0474677,1460
MICOS,0.3426168,825,0.5198131,713,0.038013,2191
CHALE,0.3426168,825,0.2979439,1565,0.025245,2915
CALHE,0.3426168,825,0.4906542,850,0.0469391,1510
CISMO,0.3426168,825,0.508785,762,0.0395129,2098
PULAR,0.3425421,826,0.5304673,663,0.0477142,1436
GRUTA,0.3425421,826,0.4441121,1057,0.0446755,1714
TURVA,0.3425047,827,0.5216822,704,0.0499025,1243
BOTEI,0.3424299,828,0.5125234,743,0.0424497,1895
CERVO,0.3423551,829,0.6016822,342,0.0500652,1230
CEIFO,0.342243,830,0.5517757,564,0.0474175,1466
LIGAM,0.342243,830,0.5104673,754,0.049869,1249
FOICE,0.342243,830,0.4674766,951,0.0377852,2211
POTES,0.3421308,831,0.6474766,190,0.0508021,1173
POSTE,0.3421308,831,0.4857944,871,0.0373692,2246
TOPES,0.3421308,831,0.5994393,352,0.04962,1266
OPTES,0.3421308,831,0.4416822,1070,0.0348267,2416
CURVA,0.3420187,832,0.5614953,519,0.0514745,1132
